title,price,url,origin,score,compound_sentiment,positive_sentiment,negative_sentiment,neutral_sentiment,textblob_polarity,textblob_subjectivity,top_descriptors,top_adjectives,descriptor_count,all_descriptors
El Salvador Loma La Gloria Unicorn Natural,$29.00/10 ounces,https://www.coffeereview.com/review/el-salvador-loma-la-gloria-unicorn-natural/,"El Bálsamo, Quetzaltepec growing region, El Salvador",95,0.7579,0.092,0.024,0.884,0.10648148148148147,0.4606481481481482,"sweet, smooth, bright, rich, complex","old, more, blind, juicy, bright",6,"sweet, smooth, bright, rich, complex, cocoa"
Ethiopia Faysel Abdosh,$20.00/12 ounces,https://www.coffeereview.com/review/ethiopia-faysel-abdosh/,"Chericho, Sidamo growing region, Ethiopia",94,0.9538,0.176,0.022,0.802,0.07368421052631578,0.5219298245614035,"chocolate, sweet, dark, citrus, floral","sweet, dark, natural, utopian, more",7,"citrus, floral, sweet, rich, dark, complex, chocolate"
Ethiopia More Floral White Honey,NT $149/100 grams,https://www.coffeereview.com/review/ethiopia-more-floral-white-honey/,"Guji Zone, Oromia Region, southern Ethiopia",93,0.8402,0.099,0.021,0.88,0.1386904761904762,0.45238095238095244,"floral, cocoa, honey, citrus, balanced","floral, kafe, more, blind, balanced",7,"citrus, floral, balanced, bright, crisp, honey, cocoa"
Ethiopia Sidamo Arbegona OLOROSO Station 74158 TOP GRADE 1 Yellow Honey,$NT $440/8 ounces,https://www.coffeereview.com/review/ethiopia-sidamo-arbegona-oloroso-station-74158-top-grade-1-yellow-honey/,"Sidamo growing Region, southern Ethiopia",93,0.8957,0.129,0.021,0.85,0.0088235294117647,0.4274509803921569,"sweet, honey, chocolate, dark, complex","sweet, yellow, more, blind, complex",5,"sweet, dark, complex, honey, chocolate"
Kenya Kii,$26.00/250 grams,https://www.coffeereview.com/review/kenya-kii-2/,"Kirinyaga County, Kenya",94,0.9552,0.146,0.019,0.835,0.18500000000000003,0.4933333333333334,"cocoa, sweet, smooth","sweet, more, blind, savory, herbaceous",3,"sweet, smooth, cocoa"
DRC Mukwinja,$19.00/12 ounces,https://www.coffeereview.com/review/drc-mukwinja/,"Kalehe, South Kivu growing region, Democratic Republic of Congo",92,0.9186,0.14,0.033,0.826,0.21923076923076923,0.5583333333333333,"sweet, floral, smooth, balanced, bright","sweet, utopian, more, blind, savory",7,"floral, sweet, smooth, balanced, bright, apple, chocolate"
Panama Geisha Vuelta DRD Natural Lot GN-01,$400.00/20 grams,https://www.coffeereview.com/review/panama-geisha-vuelta-drd-natural-lot-gn-01/,"Boquete growing region, western Panama",97,0.9698,0.19,0.02,0.789,0.06354166666666668,0.6411458333333334,"floral, sweet, dark, complex, crisp","more, blind, subtle, sweet, high",7,"floral, sweet, dark, complex, crisp, apple, nut"
Kenya Starry Night’s Fruitful Serenity,NT $350/200 grams,https://www.coffeereview.com/review/kenya-starry-nights-fruitful-serenity/,"Kiambu County, Kenya",93,0.9153,0.149,0.023,0.828,0.15178571428571427,0.4059523809523809,"cocoa, sweet, bright, rich, crisp","sweet, red, more, blind, juicy",5,"sweet, bright, rich, crisp, cocoa"
Colombia Hacienda La Pradera Mokka,$42.00/12 ounces,https://www.coffeereview.com/review/colombia-hacienda-la-pradera-mokka/,"Santander Department, Colombia",94,0.5994,0.062,0.015,0.924,0.16477272727272727,0.548721590909091,"chocolate, clove, sweet, balanced, bright","organic, more, blind, meyer, zest",7,"sweet, balanced, bright, complex, crisp, chocolate, clove"
Ethiopia Nano Genji Lot #8,$22.00/12 ounces,https://www.coffeereview.com/review/ethiopia-nano-genji-lot-8/,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",94,0.765,0.082,0.034,0.883,0.1531144781144781,0.4338383838383838,"cocoa, floral, sweet, smooth, rich","more, blind, rich, juicy, vibrant",5,"floral, sweet, smooth, rich, cocoa"
Kenya Baragwi Guama,$22.00/12 ounces,https://www.coffeereview.com/review/kenya-baragwi-guama/,"Guama Village, Kirinyaga County, Kenya",94,0.7783,0.08,0.023,0.897,0.08541666666666667,0.565625,"dark, chocolate, sweet, bright, rich","utopian, more, blind, juicy, bright",8,"sweet, bright, rich, dark, crisp, aromatic, apple, chocolate"
Ethiopia Washed Sidama Bura Karamo 74158,NT $320/8 ounces,https://www.coffeereview.com/review/ethiopia-washed-sidama-bura-karamo-74158/,"Sidamo growing region, southern Ethiopia",95,0.7964,0.089,0.022,0.889,0.09090909090909091,0.5416666666666667,"sweet, spicy, complex, crisp, cocoa","more, blind, sweet, crisp, silky",5,"sweet, spicy, complex, crisp, cocoa"
La Piragua Pink Bourbon Colombia,$22.00/12 ounces,https://www.coffeereview.com/review/la-piragua-pink-bourbon-colombia/,"Palestina, Huila Department, Colombia",94,0.9741,0.169,0.016,0.815,0.17850877192982456,0.49906015037593987,"chocolate, bright, sweet","pink, single, bright, more, blind",3,"sweet, bright, chocolate"
Encounter Passionfruit Orchard,NT $400/200 grams,https://www.coffeereview.com/review/encounter-passionfruit-orchard/,Ethiopia; Honduras; Colombia,93,0.9517,0.202,0.025,0.773,0.19102564102564104,0.6166666666666667,"fruity, sweet, rich, complex, nut","more, blind, meyer, gentle, mild",5,"fruity, sweet, rich, complex, nut"
Panama Kaizen Lot GW-01,$400.00/20 grams,https://www.coffeereview.com/review/panama-kaizen-lot-gw-01/,"Boquete growing region, western Panama",96,0.9718,0.194,0.036,0.77,0.2497222222222223,0.6606481481481482,"floral, sweet, bright, citrus, smooth","bright, sweet, floral, more, blind",10,"citrus, floral, sweet, smooth, bright, spicy, rich, complex, cocoa, hazelnut"
Ethiopia Washed Uraga More Floral Kurume Espresso,NT $270/8 ounces,https://www.coffeereview.com/review/ethiopia-washed-uraga-more-floral-kurume-espresso/,"Guji Zone, Oromia Region, southern Ethiopia",95,0.926,0.119,0.02,0.861,0.1486842105263158,0.492982456140351,"floral, chocolate, sweet, balanced, rich","floral, small, more, blind, black",8,"floral, sweet, balanced, rich, dark, complex, cherry, chocolate"
Ethiopia Natural Guji Hambella Wamena Buku G1,NT $320/8 ounces,https://www.coffeereview.com/review/ethiopia-natural-guji-hambella-wamena-buku-g1/,"Guji Zone, Oromia Region, southern Ethiopia",94,0.9681,0.189,0.021,0.79,0.1421875,0.5447916666666668,"sweet, cocoa","sweet, natural, more, blind, tart",2,"sweet, cocoa"
Espresso Giusto Blend,$18.25/12 ounces,https://www.coffeereview.com/review/espresso-giusto-blend/,Not disclosed,93,0.836,0.127,0.043,0.83,0.14047619047619048,0.4440476190476191,"chocolate, nutty, floral, sweet, smooth","fresh, more, blind, floral, satsuma",9,"nutty, floral, sweet, smooth, balanced, medium, crisp, chocolate, almond"
Ethiopia Gesha Village Lot 108,$30.00/50 grams,https://www.coffeereview.com/review/ethiopia-gesha-village-lot-108/,"Bench-Maji Zone, southern Ethiopia",94,0.9731,0.13,0.019,0.851,0.23435238095238095,0.5949904761904764,"floral, crisp, sweet, bright, spicy","floral, modcup, crisp, distinctive, natural",7,"floral, sweet, bright, spicy, complex, crisp, almond"
Ethiopia Natural Sidama Niguse Gemeda 74158,NT $320/8 ounces,https://www.coffeereview.com/review/ethiopia-natural-sidama-niguse-gemeda-74158/,"Sidamo growing region, southern Ethiopia",93,0.9152,0.123,0.02,0.857,0.0913265306122449,0.4700680272108845,"chocolate, sweet, fruity, berry, smooth","sweet, natural, more, blind, rich",6,"fruity, berry, sweet, smooth, rich, chocolate"
Guatemala Naranjas Nadando,$22.00/10 ounces,https://www.coffeereview.com/review/guatemala-naranjas-nadando/,"Huehuetenango, Guatemala",95,0.9485,0.146,0.02,0.833,0.10572916666666667,0.49843750000000003,"complex, sweet, smooth, balanced, rich","complex, more, blind, aromatic, red",9,"sweet, smooth, balanced, rich, complex, aromatic, apple, cocoa, clove"
Blue Ridge Blend,$17.50/12 ounces,https://www.coffeereview.com/review/blue-ridge-blend-3/,Not disclosed,92,0.6705,0.073,0.024,0.903,0.1,0.4966666666666667,"cherry, chocolate, sweet, rich","more, blind, deep, rounded, gentle",4,"sweet, rich, cherry, chocolate"
Kona Geisha Champagne Natural,$200.00/4 ounces,https://www.coffeereview.com/review/kona-geisha-champagne-natural-2/,"Hōlualoa, North Kona growing region, Hawai’i Island, Hawai’i",95,0.9575,0.157,0.034,0.809,0.10166666666666666,0.5461111111111111,"cocoa, floral, sweet, aromatic, honey","more, blind, aromatic, complexly, sweet",6,"floral, sweet, aromatic, honey, cocoa, hazelnut"
Kenya Crown Jewel Nyeri Ichamama,$30.00/12 ounces,https://www.coffeereview.com/review/kenya-crown-jewel-nyeri-ichamama/,"Nyeri County, Central Province, Kenya",93,0.9201,0.167,0.027,0.806,0.2233100233100233,0.552913752913753,"sweet, vanilla, citrus, floral, smooth","sweet, more, blind, tart, brown",8,"citrus, floral, sweet, smooth, balanced, bright, vanilla, cocoa"
Ethiopia Natural Sidama ALO Village FL,NT $480/4 ounces,https://www.coffeereview.com/review/ethiopia-natural-sidama-alo-village-fl/,"Sidamo growing region, southern Ethiopia",95,0.9601,0.167,0.02,0.813,0.12583333333333335,0.47000000000000003,"smooth, bright, rich, dark, complex","natural, more, blind, rich, dark",6,"smooth, bright, rich, dark, complex, chocolate"
Guatemala Punta del Cerro,$22.00/12 ounces,https://www.coffeereview.com/review/guatemala-punta-del-cerro/,"La Libertad, Huehuetenango Department, Guatemala",93,0.9704,0.213,0.021,0.766,0.2537878787878788,0.6089285714285715,"bright, rich, almond, nutty, caramel","rich, bright, more, blind, balanced",8,"nutty, caramel, smooth, balanced, bright, rich, crisp, almond"
Pueo Blend,$20.00/10 ounces,https://www.coffeereview.com/review/pueo-blend/,Guatemala and other undisclosed origins,94,0.9686,0.185,0.019,0.796,0.17682291666666666,0.5572916666666666,"chocolate, nutty, sweet, rich, nut","big, more, blind, small, creamy",6,"nutty, sweet, rich, chocolate, nut, almond"
Ethiopia Gesha Village Surma 1931 Mossto Anaerobic Honey,$40.00/6 ounces,https://www.coffeereview.com/review/ethiopia-gesha-village-surma-1931-mossto-anaerobic-honey/,"Bench-Maji Zone, southern Ethiopia",95,0.8791,0.068,0.019,0.913,0.23303030303030303,0.5818181818181819,"floral, balanced, fruity, sweet, smooth","floral, balanced, rare, more, blind",9,"fruity, floral, sweet, smooth, balanced, complex, crisp, honey, cocoa"
Costa Rica Aquiares Esperanza,$15.95/12 ounces,https://www.coffeereview.com/review/costa-rica-aquiares-esperanza/,"Turrialba growing region, Costa Rica",92,0.8658,0.126,0.038,0.837,0.11638655462184874,0.4981092436974791,"chocolate, fruity, nutty, citrus, berry","natural, more, blind, zest, fresh",10,"fruity, nutty, citrus, berry, smooth, rich, complex, crisp, chocolate, hazelnut"
Narcissus,NT $320/8 ounces,https://www.coffeereview.com/review/narcissus/,"Guji Zone, Oromia Region, southern Ethiopia",93,0.8271,0.096,0.023,0.882,0.27,0.5266666666666667,"cocoa, sweet, citrus, floral, smooth","sweet, more, blind, tart, bright",7,"citrus, floral, sweet, smooth, bright, cocoa, hazelnut"
Ethiopia Sidama Bensa Hamasho Washed G1 74158,NT $440/8 ounces,https://www.coffeereview.com/review/ethiopia-sidama-bensa-hamasho-washed-g1-74158/,"Sidamo growing region, southern Ethiopia",93,0.9287,0.143,0.022,0.835,0.26805555555555555,0.5756944444444445,"cocoa, sweet, bright, crisp, almond","sweet, more, blind, high, bright",5,"sweet, bright, crisp, cocoa, almond"
Some Serious Gourmet Sh*t Sumatra Mandheling Natural,$16.99/12 ounces,https://www.coffeereview.com/review/some-serious-gourmet-sht-sumatra-mandheling-natural/,"Lintong growing region, North Sumatra, Indonesia",93,0.9217,0.16,0.024,0.815,0.19230769230769235,0.5666666666666667,"sweet, floral, balanced, bright, apple","sweet, tart, natural, more, blind",6,"floral, sweet, balanced, bright, apple, cocoa"
Bunny Kitty Blend,$29.00/8 ounces,https://www.coffeereview.com/review/bunny-kitty-blend/,Kenya; Sumatra,93,0.8,0.096,0.024,0.881,0.1258673469387755,0.47617346938775507,"sweet, balanced, rich, dark, complex","sweet, more, blind, rich, balanced",7,"sweet, balanced, rich, dark, complex, chocolate, almond"
Colombia Efren Echeverry,$25.00/12 ounces,https://www.coffeereview.com/review/colombia-efren-echeverry/,"Pitalito, Huila Department, Colombia",94,0.8768,0.101,0.021,0.878,0.13385416666666666,0.4890625,"complex, cocoa, floral, balanced, bright","complex, pink, utopian, more, blind",7,"floral, balanced, bright, complex, aromatic, honey, cocoa"
Songstress Geisha,NT $370/8 ounces,https://www.coffeereview.com/review/songstress-geisha/,"Bench-Maji Zone, southern Ethiopia",95,0.9545,0.112,0.019,0.869,0.16295454545454546,0.5713636363636364,"floral, fruity, sweet, complex, crisp","floral, more, blind, complex, sweet",9,"fruity, floral, sweet, complex, crisp, aromatic, honey, cherry, cocoa"
Hong Kong Day Nutty Blend,HK $150/100 grams,https://www.coffeereview.com/review/hong-kong-day-nutty-blend/,Brazil; Colombia; Indonesia,93,0.9536,0.175,0.023,0.802,0.15555555555555556,0.5555555555555556,"nutty, sweet, dark, vanilla, chocolate","dark, sweet, nutty, more, blind",10,"nutty, sweet, balanced, rich, dark, crisp, vanilla, chocolate, nut, hazelnut"
Liberica Anaerobic Natural,$26.50/250 grams,https://www.coffeereview.com/review/liberica-anaerobic-natural/,Vietnam,90,0.931,0.114,0.018,0.869,0.11556818181818182,0.5031439393939394,"sweet, crisp","sweet, whole, more, blind, savory",2,"sweet, crisp"
Top Mandheling and Brazil Blend,NT $210/16 ounces,https://www.coffeereview.com/review/top-mandheling-and-brazil-blend/,Indonesia; Brazil,91,0.9062,0.154,0.026,0.82,0.17178030303030303,0.4955176767676768,"nutty, sweet, earthy, dark, chocolate","earthy, sweet, nutty, dark, creamy",5,"nutty, sweet, earthy, dark, chocolate"
Fincas Las Moritas Pacamara Amarillo,$24.00/12 ounces,https://www.coffeereview.com/review/fincas-las-moritas-pacamara-amarillo/,"San Antonio La Paz, El Progreso Department, Guatemala",93,0.7579,0.05,0.015,0.936,0.14703703703703702,0.5327777777777778,"caramel, sweet, chocolate, almond, floral","sweet, more, blind, savory, rich",9,"floral, caramel, sweet, smooth, rich, crisp, apple, chocolate, almond"
Hong Kong Night Fruity Blend,HK $150/100 grams,https://www.coffeereview.com/review/hong-kong-night-fruity-blend/,Colombia; Ethiopia; Guatemala,92,0.7351,0.076,0.023,0.901,0.14464285714285713,0.5345238095238096,"chocolate, sweet, smooth, crisp","more, blind, sweet, brown, zest",4,"sweet, smooth, crisp, chocolate"
Palila Blend,$20.00/10 ounces,https://www.coffeereview.com/review/palila-blend/,Guatemala; other undisclosed origins,93,0.9764,0.226,0.02,0.754,0.2,0.47343750000000007,"cocoa, nutty, sweet, floral, berry","nutty, sweet, big, more, blind",9,"nutty, floral, berry, sweet, balanced, bright, cocoa, nut, hazelnut"
Wai Meli Morning,$30.00/10 ounces,https://www.coffeereview.com/review/wai-meli-morning/,"Kona and Ka’u, Hawai’i; other undisclosed origins",94,0.9217,0.152,0.023,0.825,0.06911764705882352,0.47794117647058826,"floral, nutty, smooth, balanced, rich","floral, big, more, blind, aromatic",11,"nutty, floral, smooth, balanced, rich, dark, complex, crisp, aromatic, chocolate, hazelnut"
‘Io Blend,$20.00/10 ounces,https://www.coffeereview.com/review/io-blend/,Guatemala; other undisclosed origins,93,0.9744,0.188,0.018,0.794,0.13947368421052633,0.5109649122807017,"chocolate, sweet, floral, rich, medium","sweet, zest, big, more, blind",8,"floral, sweet, rich, medium, dark, complex, crisp, chocolate"
Panama Bambito Estate Geisha,$38.75/4 ounces,https://www.coffeereview.com/review/panama-bambito-estate-geisha/,"Volcan Baru, Boquete growing region, Panama",95,0.9423,0.142,0.02,0.839,0.1877972027972028,0.5662820512820513,"cocoa, smooth, bright, aromatic","more, blind, high, aromatic, meyer",4,"smooth, bright, aromatic, cocoa"
Venture Coffee Blend,NT $179/8 ounces,https://www.coffeereview.com/review/venture-coffee-blend/,Ethiopia; Brazil,91,0.872,0.127,0.027,0.846,0.10571428571428572,0.5701190476190476,"rich, dark, chocolate, sweet, smooth","rich, fresh, more, blind, sweet",6,"sweet, smooth, rich, full-bodied, dark, chocolate"
Winter Solstice,$18.95/12 ounces,https://www.coffeereview.com/review/winter-solstice/,Not disclosed,92,0.9117,0.14,0.025,0.835,0.27115384615384613,0.5730769230769232,"sweet, rich, medium, dark, crisp","more, blind, golden, fresh, zest",6,"sweet, rich, medium, dark, crisp, cocoa"
Buena Vista Pink Bourbon Colombia,$22.00/8 ounces,https://www.coffeereview.com/review/buena-vista-pink-bourbon-colombia/,"La Muralla, Huila Department, Colombia",94,0.981,0.202,0.016,0.782,0.1958333333333333,0.5624404761904762,"cocoa, berry, sweet, balanced, bright","pink, more, blind, pungent, bright",5,"berry, sweet, balanced, bright, cocoa"
El Salvador Finca Santa Sofia Natural Kenya,$22.00/8 ounces,https://www.coffeereview.com/review/el-salvador-finca-santa-sofia-natural-kenya/,"Santa Ana, El Salvador",94,0.9578,0.166,0.02,0.814,0.10727272727272728,0.5323484848484848,"sweet, cocoa, berry, spicy, complex","sweet, more, blind, complex, tart",7,"berry, sweet, spicy, complex, clean, crisp, cocoa"
Finca Santa Elisa Geisha,$45.00/12 ounces,https://www.coffeereview.com/review/finca-santa-elisa-geisha-2/,"Acatenango, Chimaltenango Department, Guatemala",93,0.7096,0.054,0.015,0.931,0.18644444444444444,0.589888888888889,"cocoa, sweet, floral","sweet, more, blind, high, brisk",3,"floral, sweet, cocoa"
Venezuela La Curva,$19.00/12 ounces,https://www.coffeereview.com/review/venezuela-la-curva/,"Mocoties Valley, Merida State Venezuela",91,-0.296,0.028,0.041,0.931,0.11527777777777776,0.41620370370370374,"sweet, caramel, crisp, bitter","sweet, crisp, red, more, blind",4,"caramel, sweet, bitter, crisp"
Finca La Esperanza,$24.00/12 ounces,https://www.coffeereview.com/review/finca-la-esperanza/,"Antigua Department, Guatemala",93,0.9371,0.1,0.015,0.885,0.18981481481481477,0.6064814814814814,"floral, nut, hazelnut, sweet, smooth","floral, esperanza, more, blind, sweet",9,"floral, sweet, smooth, rich, complex, crisp, apple, nut, hazelnut"
Good Tidings Holiday Sweet,$24.00/12 ounces,https://www.coffeereview.com/review/good-tidings-holiday-sweet/,Colombia; Ethiopia,93,0.8885,0.129,0.041,0.83,0.11083333333333334,0.475,"sweet, crisp, chocolate, toffee, nutty","sweet, pink, crisp, red, more",11,"nutty, citrus, sweet, balanced, rich, crisp, honey, cherry, chocolate, hazelnut, toffee"
Ethiopia Banko Washed,$24.00/12 ounces,https://www.coffeereview.com/review/ethiopia-banko-washed/,"Gedeb District, Gedeo Zone, southern Ethiopia",96,0.9826,0.207,0.017,0.776,0.12196969696969698,0.5518939393939394,"sweet, cocoa, citrus, smooth, bright","juicy, sweet, red, more, blind",9,"citrus, sweet, smooth, bright, rich, complex, cocoa, nut, almond"
Ethiopia Anaerobic Worka Sakaro,$24.00/12 ounces,https://www.coffeereview.com/review/ethiopia-anaerobic-worka-sakaro/,"Gedeb District, Gedeo Zone, southern Ethiopia",95,0.8779,0.105,0.033,0.862,0.1365873015873016,0.4152513227513228,"chocolate, berry, sweet, smooth, winey","natural, red, more, blind, pink",5,"berry, sweet, smooth, winey, chocolate"
Costa Rica Alma Negra Natural,$25.00/12 ounces,https://www.coffeereview.com/review/costa-rica-alma-negra-natural/,"Alajuela, Central Valley, Costa Rica",94,0.8971,0.111,0.021,0.868,0.03518518518518518,0.46111111111111114,"caramel, sweet, dark, complex, honey","sweet, plush, red, more, blind",6,"caramel, sweet, dark, complex, honey, cocoa"
Ayla Bombe Natural,$22.00/12 ounces,https://www.coffeereview.com/review/ayla-bombe-natural/,"Sidamo growing region, southern Ethiopia",94,0.9638,0.159,0.017,0.824,0.19444444444444448,0.5244708994708994,"floral, cocoa, sweet, bright, clean","floral, natural, more, blind, yellow",6,"floral, sweet, bright, clean, crisp, cocoa"
Colombia Villa Betulia CM Sidra,$46.00/8 ounces,https://www.coffeereview.com/review/colombia-villa-betulia-cm-sidra/,"Acevedo, Huila Department, Colombia",96,0.9476,0.132,0.031,0.837,0.1707246376811594,0.5534057971014493,"floral, sweet, smooth, complex, clean","floral, sweet, layered, whole, more",8,"floral, sweet, smooth, complex, clean, aromatic, nut, almond"
Costa Rica Hacienda Sonora Natural Milenio,$19.00/8 ounces,https://www.coffeereview.com/review/costa-rica-hacienda-sonora-natural-milenio/,"Alajuela, Central Valley, Costa Rica",94,0.9794,0.206,0.018,0.776,0.15818181818181817,0.5215151515151516,"sweet, chocolate, dark, smooth, balanced","sweet, dark, natural, more, blind",8,"sweet, smooth, balanced, rich, dark, clean, chocolate, almond"
Yabitu Koba Ethiopia,$23.00/12 ounces,https://www.coffeereview.com/review/yabitu-koba-ethiopia-2/,"Guji Zone, Oromia Region, southern Ethiopia",93,0.9825,0.21,0.017,0.773,0.28375,0.5536904761904763,"bright, citrus, sweet, balanced, spicy","green, bright, more, blind, balanced",7,"citrus, sweet, balanced, bright, spicy, rich, crisp"
Yabitu Koba Ethiopia,$23.00/12 ounces,https://www.coffeereview.com/review/yabitu-koba-ethiopia/,"Guji Zone, Oromia region, southern Ethiopia",93,0.9825,0.21,0.017,0.773,0.28375,0.5536904761904763,"bright, citrus, sweet, balanced, spicy","green, bright, more, blind, balanced",7,"citrus, sweet, balanced, bright, spicy, rich, crisp"
Wilton Benitez Striped Bourbon Colombia,$25.00/8 ounces,https://www.coffeereview.com/review/wilton-benitez-striped-bourbon-colombia/,"Piendamó, Cauca, Colombia",94,0.96,0.113,0.037,0.85,0.19832015810276676,0.5709627329192547,"fruity, floral, rich, crisp, apple","thermal, more, blind, floral, high",6,"fruity, floral, rich, crisp, apple, almond"
Colombia Aponte Honey,$23.00/12 ounces,https://www.coffeereview.com/review/colombia-aponte-honey/,"Aponte, Nariño Department, Colombia",94,0.9568,0.139,0.018,0.843,0.2285294117647059,0.5001960784313726,"honey, sweet, bright, cocoa, balanced","bright, sweet, toned, red, high",7,"sweet, balanced, bright, crisp, honey, cocoa, nut"
Yunlin Washed Geisha,NT $800/120 grams,https://www.coffeereview.com/review/yunlin-washed-geisha/,"Yunlin County, Taiwan",96,0.8797,0.103,0.018,0.879,0.11419786096256683,0.49183600713012465,"complex, smooth, honey","complex, local, more, blind, elegant",3,"smooth, complex, honey"
Guatemala La Benedicion,$23.49/12 ounces,https://www.coffeereview.com/review/guatemala-la-benedicion/,"Palencia, Guatemala Department, Guatemala",93,0.9781,0.182,0.016,0.802,0.20525000000000002,0.5086666666666668,"sweet, cocoa, honey, floral, smooth","sweet, true, more, blind, red",6,"floral, sweet, smooth, crisp, honey, cocoa"
Guatemala Maravilla La Cumbre Washed Pache,$15.00/8 ounces,https://www.coffeereview.com/review/guatemala-maravilla-la-cumbre-washed-pache/,"Huehuetenango, Guatemala",93,0.97,0.189,0.02,0.79,0.16583333333333333,0.56125,"sweet, nutty, rich, dark, clean","sweet, more, blind, rich, brown",8,"nutty, sweet, rich, dark, clean, chocolate, nut, hazelnut"
Finca Huixoc Geisha,$24.00/12 ounces,https://www.coffeereview.com/review/finca-huixoc-geisha-2/,"La Democracia, Huehuetenango Department, Guatemala",94,0.9612,0.123,0.015,0.862,0.18284313725490195,0.5529411764705883,"floral, rich, honey, sweet, bright","floral, rich, toned, more, blind",7,"floral, sweet, bright, rich, complex, honey, almond"
El Salvador Finca Don Jaime,$26.00/12 ounces,https://www.coffeereview.com/review/el-salvador-finca-don-jaime/,"Chalatenango growing region, El Salvador",94,0.9607,0.172,0.019,0.808,0.09206349206349207,0.4801587301587302,"sweet, floral, smooth, rich, dark","sweet, natural, conscious, more, blind",8,"floral, sweet, smooth, rich, dark, complex, winey, chocolate"
5a Sur,$7.00/12 ounces,https://www.coffeereview.com/review/5a-sur-5/,"Antigua Department, Guatemala",91,0.743,0.057,0.029,0.914,0.17777777777777776,0.5672222222222222,"chocolate, aromatic","bittersweet, more, blind, yellow, agave",2,"aromatic, chocolate"
Ethiopia Guji First Passion Natural G1,NT $490/227 grams,https://www.coffeereview.com/review/ethiopia-guji-first-passion-natural-g1/,"Guji Zone, Oromia region, southern Ethiopia",93,0.9694,0.225,0.023,0.752,0.15416666666666667,0.5601851851851853,"sweet, cocoa, smooth, rich, full-bodied","sweet, tart, full, natural, more",6,"sweet, smooth, rich, full-bodied, crisp, cocoa"
Ethiopia Guji Shakiso Gigeso Natural,$19.00/12 ounces,https://www.coffeereview.com/review/ethiopia-guji-shakiso-gigeso-natural/,,93,0.9693,0.184,0.02,0.796,0.14911764705882355,0.5886274509803923,"sweet, rich, cocoa, aromatic","sweet, rich, natural, more, blind",4,"sweet, rich, aromatic, cocoa"
El Salvador Finca Plan de Hoyo,$23.00/12 ounces,https://www.coffeereview.com/review/el-salvador-finca-plan-de-hoyo/,"Apaneca growing region, El Salvador",93,0.7506,0.072,0.021,0.906,0.10888888888888888,0.5255555555555556,"cocoa, citrus, balanced, complex, apple","conscious, more, blind, elegant, tangerine",5,"citrus, balanced, complex, apple, cocoa"
Guatemala El Socorro Natural,$24.99/12 ounces,https://www.coffeereview.com/review/guatemala-el-socorro-natural/,"Palencia, Guatemala Department, Guatemala",91,0.9477,0.17,0.022,0.809,0.16035353535353536,0.5109006734006734,"crisp, chocolate, molasses, fruity, berry","crisp, natural, more, blind, fresh",6,"fruity, berry, sweet, crisp, chocolate, molasses"
Todos Santos Cuchumatanán Pacamara,$20.00/12 ounces,https://www.coffeereview.com/review/todos-santos-cuchumatanan-pacamara/,"Todos Santos Cuchumatán, Huehuetenango Department, Guatemala",92,0.9134,0.088,0.015,0.897,0.16885416666666667,0.6113541666666668,"sweet, chocolate, nut, floral, smooth","sweet, more, blind, toned, brisk",6,"floral, sweet, smooth, cherry, chocolate, nut"
Bolivia San Lorenzo,$20.00/12 ounces,https://www.coffeereview.com/review/bolivia-san-lorenzo/,"San Lorenzo, Caranavi Province, La Paz Department, Bolivia",92,0.9001,0.129,0.022,0.848,0.09736842105263159,0.5500000000000002,"sweet, chocolate, crisp","sweet, natural, more, blind, brisk",3,"sweet, crisp, chocolate"
Ethiopia Ardi Yeast Natural,$21.00/12 ounces,https://www.coffeereview.com/review/ethiopia-ardi-yeast-natural-2/,"Guji Zone, Oromia region, southern Ethiopia",93,0.9694,0.182,0.018,0.8,0.16972222222222222,0.5971296296296297,"sweet, fruity, smooth, crisp","sweet, more, blind, tart, meyer",4,"fruity, sweet, smooth, crisp"
Ethiopia Guji Buku Sayisa Natural,$22.00/12 ounces,https://www.coffeereview.com/review/ethiopia-guji-buku-sayisa-natural/,"Guji Zone, Oromia region, southern Ethiopia",93,0.7346,0.078,0.024,0.898,0.13749999999999998,0.46527777777777785,"cocoa, sweet, almond, fruity, smooth","sweet, natural, more, blind, high",7,"fruity, sweet, smooth, crisp, blueberry, cocoa, almond"
Costa Rica Los Santos Hacienda La Minita,$21.25/16 ounces,https://www.coffeereview.com/review/costa-rica-los-santos-hacienda-la-minita/,"Los Santos, Tarrazú, Costa Rica",93,0.9558,0.192,0.024,0.784,0.29444444444444445,0.6296296296296297,"sweet, cherry, cocoa, floral, smooth","sweet, more, blind, bright, balanced",9,"floral, sweet, smooth, balanced, bright, rich, cherry, cocoa, almond"
Finca San Ramón,$20.00/12 ounces,https://www.coffeereview.com/review/finca-san-ramon/,"San Juan Sacatepequez, Sacatepequez Department, Guatemala",92,0.8885,0.072,0.014,0.915,0.20563492063492064,0.543968253968254,"bright, sweet, balanced, crisp","high, bright, rare, ancient, more",4,"sweet, balanced, bright, crisp"
